frame_id,found,nid2,nid1,pci,peak_pos,sss_pos,toa_ns,cfo_hz,pss_metric,pss_peak_ratio,sss_metric,sss_peak_ratio
0,0,-1,-1,-1,0,0,0,0.000,0.000000,1.033992,0.000000,0.000000
1,1,2,15,47,3906,3945,260480,1652998.750,0.065495,1.095622,0.083128,1.184037
2,0,-1,-1,-1,0,0,0,0.000,0.000000,1.045182,0.000000,0.000000
3,1,2,-1,-1,2832,0,492185,3410032.000,0.060671,1.133304,0.000000,1.000528
4,0,-1,-1,-1,0,0,0,0.000,0.000000,1.011037,0.000000,0.000000
5,1,2,-1,-1,210,0,673499,6174721.000,0.090623,1.171064,0.000000,1.058333
6,1,0,-1,-1,3792,0,923434,3776221.500,0.075796,1.182437,0.000000,1.001904
7,0,-1,-1,-1,0,0,0,0.000,0.000000,1.031161,0.000000,0.000000
8,1,1,-1,-1,2786,0,1157353,-12684286.000,0.092422,1.618035,0.000000,1.008131
9,1,1,-1,-1,1786,0,1258134,-12513902.000,0.063918,1.096336,0.000000,1.000762
10,1,1,116,349,1126,3298,1369982,-12520224.000,0.064869,1.080809,0.101157,1.236660
11,0,-1,-1,-1,0,0,0,0.000,0.000000,1.003009,0.000000,0.000000
12,0,-1,-1,-1,0,0,0,0.000,0.000000,1.010283,0.000000,0.000000
13,1,0,164,492,3048,3962,1832546,15170460.000,0.076089,1.320935,0.076102,1.116469
14,1,1,-1,-1,3202,0,1970892,-13314035.000,0.063337,1.116174,0.000000,1.033523
15,0,-1,-1,-1,0,0,0,0.000,0.000000,1.035274,0.000000,0.000000
16,1,1,322,967,450,2566,2147975,-523142.344,0.084373,1.190856,0.097036,1.087716
17,0,-1,-1,-1,0,0,0,0.000,0.000000,1.001581,0.000000,0.000000
18,0,-1,-1,-1,0,0,0,0.000,0.000000,1.033447,0.000000,0.000000
19,0,-1,-1,-1,0,0,0,0.000,0.000000,1.027933,0.000000,0.000000
20,1,0,-1,-1,454,0,2681437,-3387688.750,0.062437,1.206837,0.000000,1.004549
21,1,0,-1,-1,3940,0,2928247,-4298669.500,0.092308,1.476092,0.000000,1.038050
22,0,-1,-1,-1,0,0,0,0.000,0.000000,1.079957,0.000000,0.000000
