frame_id,found,nid2,nid1,pci,peak_pos,sss_pos,toa_ns,cfo_hz,pss_metric,pss_peak_ratio,sss_metric,sss_peak_ratio
0,0,-1,-1,-1,0,0,0,0.000,0.000000,1.033992,0.000000,0.000000
1,0,-1,-1,-1,0,0,0,0.000,0.000000,1.095622,0.000000,0.000000
2,0,-1,-1,-1,0,0,0,0.000,0.000000,1.045182,0.000000,0.000000
3,0,-1,-1,-1,0,0,0,0.000,0.000000,1.133304,0.000000,0.000000
4,0,-1,-1,-1,0,0,0,0.000,0.000000,1.011037,0.000000,0.000000
5,0,-1,-1,-1,0,0,0,0.000,0.000000,1.171064,0.000000,0.000000
6,0,-1,-1,-1,0,0,0,0.000,0.000000,1.182437,0.000000,0.000000
7,0,-1,-1,-1,0,0,0,0.000,0.000000,1.031161,0.000000,0.000000
8,1,1,-1,-1,2786,0,1157353,-12684286.000,0.092422,1.618035,0.000000,1.008131
9,0,-1,-1,-1,0,0,0,0.000,0.000000,1.096336,0.000000,0.000000
10,0,-1,-1,-1,0,0,0,0.000,0.000000,1.080809,0.000000,0.000000
11,0,-1,-1,-1,0,0,0,0.000,0.000000,1.003009,0.000000,0.000000
12,0,-1,-1,-1,0,0,0,0.000,0.000000,1.010283,0.000000,0.000000
13,0,-1,-1,-1,0,0,0,0.000,0.000000,1.320935,0.000000,0.000000
14,0,-1,-1,-1,0,0,0,0.000,0.000000,1.116174,0.000000,0.000000
15,0,-1,-1,-1,0,0,0,0.000,0.000000,1.035274,0.000000,0.000000
16,0,-1,-1,-1,0,0,0,0.000,0.000000,1.190856,0.000000,0.000000
17,0,-1,-1,-1,0,0,0,0.000,0.000000,1.001581,0.000000,0.000000
18,0,-1,-1,-1,0,0,0,0.000,0.000000,1.033447,0.000000,0.000000
19,0,-1,-1,-1,0,0,0,0.000,0.000000,1.027933,0.000000,0.000000
20,0,-1,-1,-1,0,0,0,0.000,0.000000,1.206837,0.000000,0.000000
21,1,0,-1,-1,3940,0,2928247,-4298669.500,0.092308,1.476092,0.000000,1.038050
22,0,-1,-1,-1,0,0,0,0.000,0.000000,1.079957,0.000000,0.000000
23,0,-1,-1,-1,0,0,0,0.000,0.000000,1.070608,0.000000,0.000000
24,0,-1,-1,-1,0,0,0,0.000,0.000000,1.063184,0.000000,0.000000
25,0,-1,-1,-1,0,0,0,0.000,0.000000,1.099769,0.000000,0.000000
26,0,-1,-1,-1,0,0,0,0.000,0.000000,1.058256,0.000000,0.000000
27,0,-1,-1,-1,0,0,0,0.000,0.000000,1.090114,0.000000,0.000000
28,0,-1,-1,-1,0,0,0,0.000,0.000000,1.007369,0.000000,0.000000
29,0,-1,-1,-1,0,0,0,0.000,0.000000,1.035427,0.000000,0.000000
30,0,-1,-1,-1,0,0,0,0.000,0.000000,1.076922,0.000000,0.000000
31,0,-1,-1,-1,0,0,0,0.000,0.000000,1.031785,0.000000,0.000000
32,0,-1,-1,-1,0,0,0,0.000,0.000000,1.038808,0.000000,0.000000
33,0,-1,-1,-1,0,0,0,0.000,0.000000,1.094154,0.000000,0.000000
34,0,-1,-1,-1,0,0,0,0.000,0.000000,1.017768,0.000000,0.000000
35,0,-1,-1,-1,0,0,0,0.000,0.000000,1.091383,0.000000,0.000000
36,0,-1,-1,-1,0,0,0,0.000,0.000000,1.013818,0.000000,0.000000
37,0,-1,-1,-1,0,0,0,0.000,0.000000,1.029895,0.000000,0.000000
38,0,-1,-1,-1,0,0,0,0.000,0.000000,1.092807,0.000000,0.000000
39,0,-1,-1,-1,0,0,0,0.000,0.000000,1.028920,0.000000,0.000000
40,0,-1,-1,-1,0,0,0,0.000,0.000000,1.086771,0.000000,0.000000
41,0,-1,-1,-1,0,0,0,0.000,0.000000,1.054485,0.000000,0.000000
42,0,-1,-1,-1,0,0,0,0.000,0.000000,1.202406,0.000000,0.000000
43,0,-1,-1,-1,0,0,0,0.000,0.000000,1.406389,0.000000,0.000000
44,0,-1,-1,-1,0,0,0,0.000,0.000000,1.117930,0.000000,0.000000
45,0,-1,-1,-1,0,0,0,0.000,0.000000,1.014904,0.000000,0.000000
46,0,-1,-1,-1,0,0,0,0.000,0.000000,1.079925,0.000000,0.000000
47,0,-1,-1,-1,0,0,0,0.000,0.000000,1.162903,0.000000,0.000000
48,0,-1,-1,-1,0,0,0,0.000,0.000000,1.276906,0.000000,0.000000
49,0,-1,-1,-1,0,0,0,0.000,0.000000,1.079870,0.000000,0.000000
50,0,-1,-1,-1,0,0,0,0.000,0.000000,1.067880,0.000000,0.000000
51,1,0,-1,-1,2236,0,6872768,11456286.000,0.097176,1.636393,0.000000,1.326488
52,0,-1,-1,-1,0,0,0,0.000,0.000000,1.171805,0.000000,0.000000
53,0,-1,-1,-1,0,0,0,0.000,0.000000,1.024824,0.000000,0.000000
54,0,-1,-1,-1,0,0,0,0.000,0.000000,1.065949,0.000000,0.000000
55,0,-1,-1,-1,0,0,0,0.000,0.000000,1.073614,0.000000,0.000000
56,0,-1,-1,-1,0,0,0,0.000,0.000000,1.009179,0.000000,0.000000
57,0,-1,-1,-1,0,0,0,0.000,0.000000,1.042008,0.000000,0.000000
58,0,-1,-1,-1,0,0,0,0.000,0.000000,1.051705,0.000000,0.000000
59,0,-1,-1,-1,0,0,0,0.000,0.000000,1.168053,0.000000,0.000000
60,0,-1,-1,-1,0,0,0,0.000,0.000000,1.385139,0.000000,0.000000
61,0,-1,-1,-1,0,0,0,0.000,0.000000,1.201653,0.000000,0.000000
62,0,-1,-1,-1,0,0,0,0.000,0.000000,1.104475,0.000000,0.000000
63,0,-1,-1,-1,0,0,0,0.000,0.000000,1.094202,0.000000,0.000000
64,0,-1,-1,-1,0,0,0,0.000,0.000000,1.024331,0.000000,0.000000
65,0,-1,-1,-1,0,0,0,0.000,0.000000,1.196602,0.000000,0.000000
66,0,-1,-1,-1,0,0,0,0.000,0.000000,1.210940,0.000000,0.000000
67,0,-1,-1,-1,0,0,0,0.000,0.000000,1.314864,0.000000,0.000000
68,0,-1,-1,-1,0,0,0,0.000,0.000000,1.061087,0.000000,0.000000
69,0,-1,-1,-1,0,0,0,0.000,0.000000,1.093979,0.000000,0.000000
70,0,-1,-1,-1,0,0,0,0.000,0.000000,1.145120,0.000000,0.000000
71,0,-1,-1,-1,0,0,0,0.000,0.000000,1.027161,0.000000,0.000000
