block_idx,sample_offset,hw_time_ns,nsamps,flags
0,0,0,4096,0
1,4096,133333,4096,0
2,8192,1760807,4096,0
3,12288,1894141,4096,0
4,16384,2027474,4096,0
5,20480,2160807,4096,0
6,24576,2294141,4096,0
7,28672,2427474,4096,0
8,32768,2560807,4096,0
9,36864,2694141,4096,0
10,40960,2827474,4096,0
11,45056,2960807,4096,0
12,49152,3094141,4096,0
13,53248,3227474,4096,0
14,57344,3360807,4096,0
15,61440,3494141,4096,0
16,65536,3627474,4096,0
17,69632,3760807,4096,0
18,73728,3894141,4096,0
19,77824,4027474,4096,0
20,81920,4160807,4096,0
21,86016,4294141,4096,0
22,90112,4427474,4096,0
23,94208,4560807,4096,0
24,98304,4694141,4096,0
25,102400,4827474,4096,0
26,106496,4960807,4096,0
27,110592,5094141,4096,0
28,114688,5227474,4096,0
29,118784,5360807,4096,0
30,122880,5494141,4096,0
31,126976,5627474,4096,0
32,131072,5760807,4096,0
33,135168,5894141,4096,0
34,139264,6027474,4096,0
35,143360,6160807,4096,0
36,147456,6294141,4096,0
37,151552,6427474,4096,0
38,155648,6560807,4096,0
39,159744,6694141,4096,0
40,163840,6827474,4096,0
41,167936,6960807,4096,0
42,172032,7094141,4096,0
43,176128,7227474,4096,0
44,180224,7360807,4096,0
45,184320,7494141,4096,0
46,188416,7627474,4096,0
47,192512,7760807,4096,0
48,196608,7894141,4096,0
49,200704,8027474,4096,0
50,204800,8160807,4096,0
51,208896,8294141,4096,0
52,212992,8427474,4096,0
53,217088,8560807,4096,0
54,221184,8694141,4096,0
55,225280,8827474,4096,0
56,229376,8960807,4096,0
57,233472,9094141,4096,0
58,237568,9227474,4096,0
59,241664,9360807,4096,0
60,245760,9494141,4096,0
61,249856,9627474,4096,0
62,253952,9760807,4096,0
63,258048,9894141,4096,0
64,262144,10027474,4096,0
65,266240,10160807,4096,0
66,270336,10294141,4096,0
67,274432,10427474,4096,0
68,278528,10560807,4096,0
69,282624,10694141,4096,0
70,286720,10827474,4096,0
71,290816,10960807,4096,0
72,294912,11094141,4096,0
73,299008,11227474,4096,0
74,303104,11360807,4096,0
75,307200,11494141,4096,0
76,311296,11627474,4096,0
77,315392,11760807,4096,0
78,319488,11894141,4096,0
79,323584,12027474,4096,0
80,327680,12160807,4096,0
81,331776,12294141,4096,0
82,335872,12427474,4096,0
83,339968,12560807,4096,0
84,344064,12694141,4096,0
85,348160,12827474,4096,0
86,352256,12960807,4096,0
87,356352,13094141,4096,0
88,360448,13227474,4096,0
89,364544,13360807,4096,0
90,368640,13494141,4096,0
91,372736,13627474,4096,0
92,376832,13760807,4096,0
93,380928,13894141,4096,0
94,385024,14027474,4096,0
95,389120,14160807,4096,0
96,393216,14294141,4096,0
97,397312,14427474,4096,0
98,401408,14560807,4096,0
99,405504,14694141,4096,0
100,409600,14827474,4096,0
101,413696,14960807,4096,0
102,417792,15094141,4096,0
103,421888,15227474,4096,0
104,425984,15360807,4096,0
105,430080,15494141,4096,0
106,434176,15627474,4096,0
107,438272,15760807,4096,0
108,442368,15894141,4096,0
109,446464,16027474,4096,0
110,450560,16160807,4096,0
111,454656,16294141,4096,0
112,458752,16427474,4096,0
113,462848,16560807,4096,0
114,466944,16694141,4096,0
115,471040,16827474,4096,0
116,475136,16960807,4096,0
117,479232,17094141,4096,0
118,483328,17227474,4096,0
119,487424,17360807,4096,0
120,491520,17494141,4096,0
121,495616,17627474,4096,0
122,499712,17760807,4096,0
123,503808,17894141,4096,0
124,507904,18027474,4096,0
125,512000,18160807,4096,0
126,516096,18294141,4096,0
127,520192,18427474,4096,0
128,524288,18560807,4096,0
129,528384,18694141,4096,0
130,532480,18827474,4096,0
131,536576,18960807,4096,0
132,540672,19094141,4096,0
133,544768,19227474,4096,0
134,548864,19360807,4096,0
135,552960,19494141,4096,0
136,557056,19627474,4096,0
137,561152,19760807,4096,0
138,565248,19894141,4096,0
139,569344,20027474,4096,0
140,573440,20160807,4096,0
141,577536,20294141,4096,0
142,581632,20427474,4096,0
143,585728,20560807,4096,0
144,589824,20694141,4096,0
145,593920,20827474,4096,0
146,598016,20960807,4096,0
147,602112,21094141,4096,0
148,606208,21227474,4096,0
149,610304,21360807,4096,0
150,614400,21494141,4096,0
151,618496,21627474,4096,0
152,622592,21760807,4096,0
153,626688,21894141,4096,0
154,630784,22027474,4096,0
155,634880,22160807,4096,0
156,638976,22294141,4096,0
157,643072,22427474,4096,0
158,647168,22560807,4096,0
159,651264,22694141,4096,0
160,655360,22827474,4096,0
161,659456,22960807,4096,0
162,663552,23094141,4096,0
163,667648,23227474,4096,0
164,671744,23360807,4096,0
165,675840,23494141,4096,0
166,679936,23627474,4096,0
167,684032,23760807,4096,0
168,688128,23894141,4096,0
169,692224,24027474,4096,0
170,696320,24160807,4096,0
171,700416,24294141,4096,0
172,704512,24427474,4096,0
173,708608,24560807,4096,0
174,712704,24694141,4096,0
175,716800,24827474,4096,0
176,720896,24960807,4096,0
177,724992,25094141,4096,0
178,729088,25227474,4096,0
179,733184,25360807,4096,0
180,737280,25494141,4096,0
181,741376,25627474,4096,0
182,745472,25760807,4096,0
183,749568,25894141,4096,0
184,753664,26027474,4096,0
185,757760,26160807,4096,0
186,761856,26294141,4096,0
187,765952,26427474,4096,0
188,770048,26560807,4096,0
189,774144,26694141,4096,0
190,778240,26827474,4096,0
191,782336,26960807,4096,0
192,786432,27094141,4096,0
193,790528,27227474,4096,0
194,794624,27360807,4096,0
195,798720,27494141,4096,0
196,802816,27627474,4096,0
197,806912,27760807,4096,0
198,811008,27894141,4096,0
199,815104,28027474,4096,0
200,819200,28160807,4096,0
201,823296,28294141,4096,0
202,827392,28427474,4096,0
203,831488,28560807,4096,0
204,835584,28694141,4096,0
205,839680,28827474,4096,0
206,843776,28960807,4096,0
207,847872,29094141,4096,0
208,851968,29227474,4096,0
209,856064,29360807,4096,0
210,860160,29494141,4096,0
211,864256,29627474,4096,0
212,868352,29760807,4096,0
213,872448,29894141,4096,0
214,876544,30027474,4096,0
215,880640,30160807,4096,0
216,884736,30294141,4096,0
217,888832,30427474,4096,0
218,892928,30560807,4096,0
219,897024,30694141,4096,0
220,901120,30827474,4096,0
221,905216,30960807,4096,0
222,909312,31094141,4096,0
223,913408,31227474,4096,0
224,917504,31360807,4096,0
225,921600,31494141,4096,0
226,925696,31627474,4096,0
227,929792,31760807,4096,0
228,933888,31894141,4096,0
229,937984,32027474,4096,0
230,942080,32160807,4096,0
