row,ts_first,rx_ts_int,rx_ts_frac,rel_samp,rel_ns,rel_us,ma_ns,jitter_ns,fs_hz,pci,ssb,snr_db,peak_metric,quality,cfo_hz,coarse_offset_samp,cum_tracking_shift_samp,mib_payload
1,1268659837,1268990489,-0.164890,330651.835110,10763406.090834,10763.406091,10763406.090834,0.000000,30720000,84,3,2.37,4.430183,0.553773,1877.03,330636,1,0xa02b15
2,1269283021,1269613887,0.440171,330866.440171,10770391.932663,10770.391933,10766899.011748,3492.920914,30720000,84,3,2.37,4.460627,0.557578,1363.61,330636,-2,0xa02b15
3,1292634402,1292965265,-0.184822,330862.815178,10770273.931561,10770.273932,10768023.985019,3265.699628,30720000,84,3,2.37,4.935016,0.616877,311.30,330636,0,0xa02b15
4,1317233141,1317564004,-0.103750,330862.896250,10770276.570639,10770.276571,10768587.131424,2991.654587,30720000,84,3,2.37,4.861628,0.607703,2052.03,330636,-4,0xa02b15
5,1335928661,1336259537,0.368773,330876.368773,10770715.129330,10770.715129,10769012.731005,2807.941906,30720000,84,3,2.37,5.297835,0.662229,349.00,330636,2,0xa02b15
6,1360856021,1361186654,0.185327,330633.185327,10762799.001525,10762.799002,10767977.109425,3454.418679,30720000,84,3,2.37,4.517136,0.564642,1816.84,330636,-4,0xa02b15
7,1382044277,1382374920,0.071474,330643.071474,10763120.816210,10763.120816,10767283.353251,3621.612720,30720000,84,3,2.37,4.596697,0.574587,776.65,330636,2,0xa02b15
8,1400739797,1401070657,-0.014643,330859.985357,10770181.815023,10770.181815,10767645.660973,3520.715417,30720000,84,3,2.37,5.743536,0.717942,1993.21,330636,-2,0xa02b15
9,1424486361,1424816997,0.000000,330636.000000,10762890.625000,10762.890625,10767117.323643,3640.231990,30720000,84,3,2.37,4.179043,0.522380,618.01,330636,0,0xa02b15
10,1445051433,1445382294,-0.101432,330860.898568,10770211.541939,10770.211542,10767426.745472,3576.008511,30720000,84,3,2.37,7.795348,0.974419,948.24,330636,-4,0xa02b15
11,1463887094,1464217733,0.022415,330639.022415,10762989.010903,10762.989011,10767023.315057,3640.448770,30720000,84,3,2.37,8.208271,1.000000,-92.07,330636,2,0xa02b15
12,1487568086,1487898720,0.011769,330634.011769,10762825.903936,10762.825904,10766673.530797,3673.458991,30720000,84,3,2.37,6.785076,0.848134,1542.54,330636,-3,0xa02b15
13,1507761745,1508092619,-0.015843,330873.984157,10770637.505125,10770.637505,10766978.451899,3684.019591,30720000,84,3,2.37,5.158391,0.644799,155.00,330636,0,0xa02b15
14,1528326817,1528657448,0.000000,330631.000000,10762727.864583,10762.727865,10766674.838519,3714.959737,30720000,84,3,2.37,7.182350,0.897794,1704.13,330636,-5,0xa02b15
15,1552630993,1552961865,0.021912,330872.021912,10770573.629935,10770.573630,10766934.757947,3718.424081,30720000,84,3,2.37,5.654166,0.706771,1163.51,330636,-1,0xa02b15
16,1573196065,1573526936,-0.019935,330870.980065,10770539.715655,10770.539716,10767160.067804,3704.588812,30720000,84,3,2.37,4.726951,0.590869,2506.97,330636,-3,0xa02b15
17,1594463766,1594794399,0.000000,330633.000000,10762792.968750,10762.792969,10766903.179624,3737.987429,30720000,84,3,2.37,4.613228,0.576653,50.66,330636,-3,0xa02b15
18,1619391126,1619721774,-0.199982,330647.800018,10763274.740169,10763.274740,10766701.599654,3726.537732,30720000,84,3,2.37,4.682609,0.585326,2827.06,330636,-1,0xa02b15
19,1637463462,1637794099,-0.107513,330636.892487,10762919.677324,10762.919677,10766502.551111,3724.157643,30720000,84,3,2.37,7.604105,0.950513,252.14,330636,-1,0xa02b15
20,1661144454,1661475320,-0.000425,330865.999575,10770377.590319,10770.377590,10766696.303071,3726.813554,30720000,84,3,2.37,5.048048,0.631006,3626.72,330636,-3,0xa02b15
21,1684257038,1684587671,0.000000,330633.000000,10762792.968750,10762.792969,10766510.430008,3730.781097,30720000,84,3,2.37,8.595257,1.000000,-174.68,330636,-3,0xa02b15
22,1704253674,1704584315,0.032382,330641.032382,10763054.439529,10763.054440,10766353.339532,3715.411677,30720000,84,3,2.37,5.388820,0.673603,4073.09,330636,-4,0xa02b15
23,1725441930,1725772799,-0.169325,330868.830675,10770469.748548,10770.469749,10766532.313837,3729.450001,30720000,84,3,2.37,5.364475,0.670559,-1484.28,330636,-5,0xa02b15
24,1748499738,1748830368,0.000000,330630.000000,10762695.312500,10762.695312,10766372.438781,3730.568973,30720000,84,3,2.37,5.869670,0.733709,2712.06,330636,-6,0xa02b15
25,1768665148,1768995791,-0.106201,330642.893799,10763115.032508,10763.115033,10766242.142530,3710.513411,30720000,84,3,2.37,4.497263,0.562158,-1138.55,330636,-5,0xa02b15
26,1787983852,1788314717,0.476572,330865.476572,10770360.565508,10770.360566,10766400.543414,3723.660267,30720000,84,3,2.37,5.428313,0.678539,3053.17,330636,-4,0xa02b15
27,1808009008,1808339651,-0.059640,330642.940360,10763116.548179,10763.116548,10766278.913961,3706.310857,30720000,84,3,2.37,5.722250,0.715281,-375.64,330636,-3,0xa02b15
28,1831066816,1831397446,0.000000,330630.000000,10762695.312500,10762.695312,10766150.928194,3699.785390,30720000,84,3,2.37,9.295700,1.000000,3662.73,330636,-6,0xa02b15
29,1849139152,1849470021,-0.017626,330868.982374,10770474.686653,10770.474687,10766300.023314,3720.056405,30720000,84,3,2.37,4.769744,0.596218,-29.56,330636,-5,0xa02b15
30,1871161133,1871491765,0.000000,330632.000000,10762760.416667,10762.760417,10766182.036425,3712.308168,30720000,84,3,2.37,8.793044,1.000000,2602.99,330636,-4,0xa02b15
31,1889233469,1889564341,0.000000,330872.000000,10770572.916667,10770.572917,10766323.677724,3733.435922,30720000,84,3,2.37,8.115079,1.000000,-669.45,330636,-3,0xa02b15
32,1910468843,1910799711,0.299523,330868.299523,10770452.458430,10770.452458,10766452.702121,3744.199572,30720000,84,3,2.37,4.504657,0.563082,1286.54,330636,-6,0xa02b15
33,1928541178,1928872048,0.225549,330870.225549,10770515.154592,10770.515155,10766674.860363,3767.672178,30720000,84,3,2.37,5.619357,0.702420,73.18,330636,-4,0xa02b15
34,1948108324,1948438952,0.000000,330628.000000,10762630.208333,10762.630208,10766432.306478,3770.408067,30720000,84,3,2.37,4.664813,0.583102,357.79,330636,-8,0xa02b15
