row,ts_first,rx_ts_int,rx_ts_frac,rel_samp,rel_ns,rel_us,ma_ns,jitter_ns,fs_hz,pci,ssb,snr_db,peak_metric,quality,cfo_hz,coarse_offset_samp,cum_tracking_shift_samp,mib_payload
1,657065241,657085878,0.000000,20637.000000,671777.343750,671.777344,671777.343750,0.000000,30720000,84,3,1.72,4.513667,0.564208,1756.11,20639,-2,0xbc2b15
2,672644841,672665717,0.000000,20876.000000,679557.291667,679.557292,675667.317708,3889.973958,30720000,84,3,1.72,4.649847,0.581231,175.53,20639,-2,0xbc2b15
3,694456281,694477140,-0.009130,20858.990870,679003.609051,679.003609,676779.414823,3544.213817,30720000,84,3,1.72,5.302380,0.662797,2071.13,20639,-3,0xbc2b15
4,717561450,717582089,0.000000,20639.000000,671842.447917,671.842448,675545.173096,3740.474115,30720000,84,3,1.72,5.329769,0.666221,1140.55,20639,0,0xbc2b15
5,741242442,741263314,0.260012,20872.260012,679435.547281,679.435547,676323.247933,3689.785778,30720000,84,3,1.72,4.803669,0.600459,1836.73,20639,-5,0xbc2b15
6,763104656,763125298,-0.160317,20641.839683,671934.885515,671.934886,675591.854197,3744.344611,30720000,84,3,1.72,3.973899,0.496737,943.05,20639,2,0xbc2b15
7,785539280,785559912,0.000000,20632.000000,671614.583333,671.614583,675023.672645,3735.535360,30720000,84,3,1.72,5.805833,0.725729,1896.60,20639,-7,0xbc2b15
8,809896249,809916892,-0.266057,20642.733943,671963.995525,671.963996,674641.213005,3637.839194,30720000,84,3,1.72,5.822449,0.727806,998.38,20639,3,0xbc2b15
9,830603870,830624739,0.000000,20869.000000,679329.427083,679.329427,675162.125680,3732.859987,30720000,84,3,1.72,5.096637,0.637080,1621.75,20639,-9,0xbc2b15
10,854284862,854305729,-0.190463,20866.809537,679258.122943,679.258123,675571.725406,3748.435238,30720000,84,3,1.72,5.359203,0.669900,1905.49,20639,2,0xbc2b15
11,877342670,877363311,-0.249450,20640.750550,671899.431979,671.899432,675237.880549,3726.653753,30720000,84,3,1.72,4.943626,0.617953,773.71,20639,-7,0xbc2b15
12,898530926,898551804,0.000000,20878.000000,679622.395833,679.622396,675603.256823,3768.171600,30720000,84,3,1.72,5.571509,0.696439,1606.68,20639,0,0xbc2b15
